ze2010,libelle_ze,txcho_2003,txcho_2004,txcho_2005,txcho_2006,txcho_2007,txcho_2008,txcho_2009,txcho_2010,txcho_2011,txcho_2012,txcho_2013,densite,fronta,tx_act,tx_act_f,part_emp_pub,part_emp_ind,part_ouv,part_cad,part_act_1530,part_act_5064,part_act_peudip,part_act_tredip,tx_cre_eta,tx_act_intra,var_emp,tx_immig,f_bel,f_lux,f_all,f_su,part_etu
4305,Dole,7.1,7.1,7.2,7.5,6.6,6.6,8.9,8.4,7.8,8.5,9.2,79.184165194,1,72.938899003,68.445680636,33.234421365,25.344165005,29.504017804,9.5758177056,22.690886989,25.143638447,21.422277973,26.093501572,38.679069767,73.869432665,96.903092947,5.6205637332,0,0,0,0,45.881799688
4306,Lons-le-Saunier,5.3,5.6,5.8,5.9,5.2,5.1,6.7,6.6,6,6.2,6.5,48.00932647,1,73.609966821,70.130495478,35.734583343,21.786121973,28.46858837,10.353776024,20.501990798,27.041215172,21.107759915,26.344395562,30.398876868,79.51939641,101.46236038,4.5196582315,0,0,0,0,48.286351515
4307,Saint-Claude,7.1,7.5,7.5,7.1,6.7,6.6,9.9,8.8,7.2,7.6,8.2,45.239251982,1,77.512372892,74.040723682,25.402144772,42.138069705,36.502778414,9.7158423376,21.411343911,25.012363076,25.648851281,25.534766966,33.600844773,66.550387719,90.963435289,12.257430751,0,0,0,1,48.392106524
4308,Gray,7,7.2,7.4,7.5,6.6,6.3,8.5,7.8,7.7,8.8,9.6,31.01060872,1,72.507355061,67.909751994,33.260758197,28.265881148,32.12315279,8.0912116686,21.450507224,26.668450646,27.799925366,20.705335718,28.0213496,70.054737916,96.430666927,4.458140566,0,0,0,0,46.931310448
4309,Vesoul,6.4,6.9,7.5,7.9,7.1,6.8,8.9,8.3,8.1,9.2,9.7,42.674558768,1,73.188201772,68.786130058,37.386565071,24.53369315,31.676382254,8.4158532672,22.679152913,26.349001882,26.203781704,22.493767668,33.014061545,80.695533662,94.383580641,4.8947588797,0,0,0,0,42.579634667
5201,Ancenis,5.1,5.3,5.5,5.7,4.8,4.5,7,6.7,5.6,5.9,6.2,75.339628893,0,77.620949252,74.496519061,21.883512025,33.184584178,32.691918728,9.4679963025,22.691944493,21.676025676,20.708465896,25.347277166,33.054731734,60.205470799,106.35526055,2.1057332546,0,0,0,0,42.29070469
5202,Châteaubriant,6.5,7,7,6.6,5.7,5.3,7.8,8.4,7.3,7.9,8.4,49.583019514,0,74.101389681,70.13371702,33.300723929,26.6484054,35.325407867,6.9211844451,22.249614004,24.7375976,22.82798842,20.163366103,28.527980535,67.900967099,98.225430483,3.9802145973,0,0,0,0,45.469256451
5203,Nantes,7.3,7.5,7.4,7.3,6.5,5.8,7.5,7.5,7.2,7.6,8.1,202.49550885,0,74.857493534,72.16283004,29.429961662,13.434837449,21.133136235,18.275331996,24.033478831,22.385505338,14.207088872,38.708341255,42.800518522,85.268974996,105.47244629,4.9150753074,0,0,0,0,54.65393374
5204,Saint-Nazaire,8.3,9.3,8.6,8.4,7.5,6.2,8.5,9.1,8.3,8.7,9.5,180.56740574,0,71.609663758,68.891044543,30.506658679,21.19141975,27.257464014,10.832143053,21.728383044,23.649259987,17.235007465,27.442579571,42.554741398,80.430990495,102.86300557,3.1161371496,0,0,0,0,47.749161148
5205,Angers,8.1,8.3,8.1,8.2,7.5,6.8,8.6,8.6,8.5,9.2,9.8,130.51751077,0,72.900373374,69.543314223,34.775266792,14.885750157,23.579245958,14.822506309,24.698490023,23.688517505,18.645645314,34.177599856,37.539843524,82.673019483,101.75508428,4.5715270192,0,0,0,0,55.815724771
5206,Cholet,5.6,5.8,5.9,5.9,4.9,4.6,6.7,6.4,6,6.8,7.3,120.67350751,0,76.552738265,73.207622168,23.801048294,30.875634162,33.960869715,8.7146552278,23.916978685,23.248389522,22.079515999,25.144113419,31.756709897,78.51785173,100.95274075,3.858640488,0,0,0,0,43.669366859
5207,Saumur,8.2,8.6,8.4,8.9,8,7.4,9.3,9.3,9.2,9.9,10.2,78.108227918,0,73.482205443,69.134687833,31.432129514,21.633161359,31.689549077,8.7185975016,22.750807455,24.757092617,27.580780281,22.20962386,31.15595892,75.582736632,101.08131488,2.7414001289,0,0,0,0,41.39134784
5208,Segré,4.4,5.1,5.3,5.4,4.8,4.6,6.7,6.2,6.1,7,7.4,49.380865176,0,75.694062287,72.734146467,28.664787289,39.582265505,38.370951935,6.1820999461,22.844638369,24.698033708,25.244469686,18.679095542,23.598435463,68.626606148,101.45226131,2.1885903352,0,0,0,0,43.92972622
5209,Laval,5,5.3,5.4,5.5,4.8,4.7,6.4,6.2,5.8,6.5,6.9,69.254908071,0,76.057021362,73.797540633,30.651153191,23.702337341,29.328916682,10.330331213,22.367614179,23.726935268,21.63584258,27.123898534,25.769845773,82.90831869,97.708141829,3.5622819147,0,0,0,0,48.83158473
5210,Mayenne,4.7,5,5.4,5.1,4.5,4.4,5.7,5.7,5.3,6.1,6.7,44.836913286,0,74.131930567,70.373545308,29.267678358,31.830489264,33.037263347,6.8114795555,22.268246346,25.272545014,24.157227482,21.824351058,19.866412214,73.399849638,92.749977129,2.8981772968,0,0,0,0,46.277282169
5211,La Ferté-Bernard,5.9,6.3,6.1,5.9,5.1,5.4,7.4,6.6,6.7,7.7,8.6,53.891023564,0,75.909198206,73.756109822,16.888348408,51.972334119,37.607005673,8.2847039123,21.733972007,23.859081955,25.570059013,20.06625542,28.256812243,67.520405218,95.438638116,2.8037735448,0,0,0,0,45.828154747
5212,La Flèche,6.8,7.2,7.5,8.2,7.6,6.9,9.4,9.1,8.5,9.3,10.1,55.175147401,0,71.91249985,69.965650273,27.207620637,28.375747462,33.769478159,8.5350770465,20.543816971,26.766905474,26.981990046,20.071967868,29.581395349,63.311442775,97.134175093,1.8467639835,0,0,0,0,48.267316843
5213,Le Mans,6.7,7.2,7.5,7.9,7,6.5,8.8,8.8,8.5,9.2,10,113.32479979,0,73.713720083,71.020740866,33.222984853,17.101807508,25.973769105,12.035935168,23.540782291,23.74442764,21.106175463,28.117155781,36.489082969,83.212211578,98.388183218,4.1494940422,0,0,0,0,48.489231998
5214,Sablé-sur-Sarthe,5.6,6,6.1,6.7,6.2,6,8.3,8.1,7.3,8,8.3,58.833745754,0,75.938506481,73.003719166,25.550819909,47.294661562,40.59994628,7.41110627,22.577914654,22.760572257,27.572233648,20.175111588,28.457350272,71.412415128,99.971692238,3.5754323904,0,0,0,0,46.132527233
5215,Challans,7.4,7.6,8,8.1,7.2,6.7,9.2,9.1,8.6,9.3,10.2,115.7857246,0,71.8231823,68.21249841,25.34587214,21.611357266,29.557609747,7.3250444934,21.690933717,23.800909033,20.984594676,20.801897641,39.692064745,79.725482913,101.27671783,1.646712788,0,0,0,0,40.037376963
5216,Fontenay-le-Comte,6.9,7.2,7.1,7.1,6.2,6,8.1,8.3,8.2,9.2,10,62.902356841,0,74.220209405,70.545345941,31.988058381,25.757408226,31.088648148,7.3982757555,21.938895517,25.610533542,21.706166448,21.81920585,31.887477314,68.419139578,97.488285702,2.9660675028,0,0,0,0,41.388225642
5217,Les Herbiers,4,4.3,4.1,4.2,3.4,3.4,5.6,5.1,4.7,5.3,5.5,87.021517554,0,79.154990792,76.224219856,14.953677526,40.689835153,39.864775603,6.495421536,24.411426479,22.835881399,20.62464419,22.078129143,29.336090053,66.413779862,104.28448373,1.9929864541,0,0,0,0,38.519668658
5218,La Roche-sur-Yon,5.8,6.1,6.2,6.3,5.7,5.6,7.8,7.5,7.1,7.7,8.4,84.841091379,0,74.202465255,71.110424026,30.878757696,21.731256791,29.407478618,9.7166269454,23.278533154,23.962288324,18.749401326,26.696173581,38.169688328,78.683002687,103.11480273,2.4165651994,0,0,0,0,47.631668993
5219,Les Sables-d'Olonne,8.8,9.3,9.3,9.1,8,7.6,10,10.2,10,10.5,11.2,182.89403955,0,68.599879593,65.472837111,33.140229336,9.5556617296,23.435066019,11.081655915,19.462879281,28.404362156,19.551589641,26.234886066,46.019206939,70.842417841,102.52390057,1.9044510217,0,0,0,0,47.951298962
5301,Dinan,8,8,7.7,7.9,7.2,6.5,8.2,8.7,8.6,9.5,10,146.64695738,0,72.456109544,69.133540092,34.202141782,15.421718736,23.675581996,11.491715128,19.830680321,26.206374064,17.799368557,30.062726816,39.896438495,61.698017674,100.67029602,2.6813974849,0,0,0,0,49.869689542
5302,Guingamp,7.4,7.8,7.7,7.8,7.2,6.4,7.7,8,8.4,9.2,9.9,65.315247235,0,69.778255609,66.77890791,38.404645054,20.577866869,27.800481709,8.5423458231,21.376195617,25.770807805,18.44789796,26.763788868,28.361702128,64.585120734,94.107170119,2.5277560402,0,0,0,0,51.369027696
5303,Lannion,9.4,9.4,8.8,8.4,7.5,6.9,8.2,8.5,8.1,8.8,9.5,127.41789779,0,68.87971164,66.432097137,34.428473648,12.5,18.98407479,17.691396689,18.265416417,28.805928236,14.570146066,36.101731268,34.816559246,77.799119094,97.189619197,2.5766440622,0,0,0,0,56.562680501
5304,Loudéac,4.3,4.6,4.7,4.9,4.1,4.1,5.3,5.5,5.7,6.2,6.8,48.697719926,0,73.206627014,69.476840172,24.613198611,27.976002526,37.662025069,5.4781498405,20.414242685,26.230249504,20.240129632,21.683981978,21.514453825,70.64328085,94.316887477,3.2806309559,0,0,0,0,48.477761785
